14:48:37.925660 wlan0 Out IP 192.168.1.100.38558 > 3.161.127.222.443: Flags [P.], seq 219337255:219337294, ack 3971536426, win 12285, options [nop,nop,TS val 2025425187 ecr 1856561486], length 39
14:48:37.928329 wlan0 Out IP 192.168.1.100.38558 > 3.161.127.222.443: Flags [FP.], seq 39:63, ack 1, win 12285, options [nop,nop,TS val 2025425190 ecr 1856561486], length 24
14:48:37.964746 wlan0 In  IP 3.161.127.222.443 > 192.168.1.100.38558: Flags [.], ack 64, win 168, options [nop,nop,TS val 1856614561 ecr 2025425187], length 0
14:48:37.964747 wlan0 In  IP 3.161.127.222.443 > 192.168.1.100.38558: Flags [F.], seq 1, ack 64, win 168, options [nop,nop,TS val 1856614561 ecr 2025425187], length 0
14:48:37.964783 wlan0 Out IP 192.168.1.100.38558 > 3.161.127.222.443: Flags [.], ack 2, win 12285, options [nop,nop,TS val 2025425227 ecr 1856614561], length 0
14:48:38.205712 wlan0 Out IP 192.168.1.100.56509 > 142.250.130.113.443: UDP, length 1252
14:48:38.208168 wlan0 Out IP 192.168.1.100.56509 > 142.250.130.113.443: UDP, length 1252
14:48:38.208224 wlan0 Out IP 192.168.1.100.56509 > 142.250.130.113.443: UDP, length 1252
14:48:38.208259 wlan0 Out IP 192.168.1.100.56509 > 142.250.130.113.443: UDP, length 1252
14:48:38.208291 wlan0 Out IP 192.168.1.100.56509 > 142.250.130.113.443: UDP, length 1252
14:48:38.208322 wlan0 Out IP 192.168.1.100.56509 > 142.250.130.113.443: UDP, length 1252
14:48:38.208354 wlan0 Out IP 192.168.1.100.56509 > 142.250.130.113.443: UDP, length 1252
14:48:38.208386 wlan0 Out IP 192.168.1.100.56509 > 142.250.130.113.443: UDP, length 1252
14:48:38.208418 wlan0 Out IP 192.168.1.100.56509 > 142.250.130.113.443: UDP, length 1252
14:48:38.208451 wlan0 Out IP 192.168.1.100.56509 > 142.250.130.113.443: UDP, length 1252
14:48:38.208483 wlan0 Out IP 192.168.1.100.56509 > 142.250.130.113.443: UDP, length 1252
14:48:38.208517 wlan0 Out IP 192.168.1.100.56509 > 142.250.130.113.443: UDP, length 1252
14:48:38.208548 wlan0 Out IP 192.168.1.100.56509 > 142.250.130.113.443: UDP, length 1252
14:48:38.208581 wlan0 Out IP 192.168.1.100.56509 > 142.250.130.113.443: UDP, length 1252
14:48:38.208613 wlan0 Out IP 192.168.1.100.56509 > 142.250.130.113.443: UDP, length 1252
